Genre,2021,2020,2019,2018,2017,2016,2015,Overall
Animation,2.3557126030624262,2.6818366517675742,2.521231422505308,3.150723814930457,2.8062191884717484,3.073190456934897,2.741514360313316,2.7794982966862802
Biography,2.237926972909305,1.9301097114993906,2.494692144373673,1.9017882486517173,2.3511566173682215,2.8305701577031948,2.1409921671018277,2.210436667698978
Short,1.0600706713780919,0.8126777732629012,0.743099787685775,0.3973885892705081,0.3412969283276451,0.5256773150020219,0.20887728459530025,0.499380613192939
Family,2.7090694935217905,3.799268590004063,3.4235668789808917,3.5764973034345724,3.6405005688282137,3.315810756166599,4.399477806788512,3.793744193248684
Adventure,4.004711425206125,4.083705810646078,3.901273885350318,5.307976156684644,4.740235115661736,5.620703598867772,6.579634464751958,5.175751006503561
Western,0.35335689045936397,0.4469727752945957,0.3450106157112527,0.3122338915696849,0.18960940462646947,0.3639304488475536,0.3785900783289817,0.3561474140600805
Comedy,14.3698468786808,15.237708248679398,16.932059447983015,16.349701958558047,14.48615851346227,13.708046906591184,13.263707571801566,14.799473521213999
War,1.1778563015312131,1.0564811052417715,1.0084925690021231,0.8799318762418393,1.2514220705346986,0.9704811969268096,1.1357702349869452,1.0645710746361103
Game-Show,0.0,0.02031694433157253,0.0,0.0,0.0,0.0,0.0,0.00387116754413131
Film-Noir,0.23557126030624262,0.0,0.0,0.0,0.0,0.0,0.0,0.00774233508826262
Sci-Fi,2.5912838633686692,2.9662738724095896,2.4681528662420384,3.8603462957706505,2.9958285930982176,2.628386575010109,3.838120104438642,3.2324248993496436
History,1.4134275618374559,1.3612352702153596,1.7781316348195328,1.61793925631564,1.5168752370117558,1.6174686615446827,1.3446475195822454,1.4942706720346857
Sport,1.2956419316843346,1.1377488825680617,0.8757961783439491,1.1637808685779165,1.2514220705346986,0.9704811969268096,1.1749347258485638,1.1148962527098172
Romance,6.24263839811543,8.472165786265744,7.1921443736730355,6.414987226795345,6.560485400075844,6.550748079255965,7.0626631853785895,7.134561783834005
Reality-TV,0.0,0.10158472165786266,0.05307855626326964,0.08515469770082316,0.0,0.040436716538617065,0.0,0.04258284298544441
Adult,0.0,0.02031694433157253,0.0,0.0,0.0,0.0,0.0,0.00387116754413131
News,0.0,0.0,0.02653927813163482,0.05676979846721544,0.0,0.08087343307723413,0.0783289817232376,0.04258284298544441
Action,6.713780918727916,6.3795205201137755,7.669851380042463,8.799318762418393,8.797876374668183,9.300444803881923,10.03916449086162,8.520439764633013
Crime,6.36042402826855,5.323039414872003,5.095541401273886,5.194436559750213,5.915813424345847,6.833805095026284,5.953002610966057,5.698358624961288
Fantasy,3.53356890459364,3.169443315725315,3.529723991507431,4.768663071246097,3.754266211604096,3.7201779215527697,4.6214099216710185,3.995044905543512
Thriller,9.422850412249705,8.025193010971151,7.855626326963907,8.430315072381493,9.328782707622297,9.987868985038414,9.386422976501306,8.826262000619387
Musical,0.47114252061248524,0.7720438845997561,0.47770700636942676,0.6244677831393698,0.6825938566552902,0.44480388192478765,0.7571801566579635,0.6542273149581914
Mystery,2.7090694935217905,3.04754164973588,3.4235668789808917,2.8952597218279874,3.564656806977626,2.911443590780429,3.328981723237598,3.193713223908331
Drama,23.792697290930505,21.75944737911418,19.347133757961785,17.485097927902356,19.074706105422827,17.832591993530126,16.096605744125327,18.562248374109632
Music,1.1778563015312131,1.4221861032100773,1.48619957537155,0.8231620777746239,1.061812665908229,1.334411645774363,1.1096605744125325,1.2039331062248373
Horror,3.0624263839811543,3.7586347013409185,3.954352441613588,3.264263411864888,2.7682973075464545,3.1540638900121314,3.172323759791123,3.364044595850108
Documentary,2.7090694935217905,2.2145469321414057,3.397027600849257,2.639795628725518,2.9199848312476298,2.1835826930853215,1.1879895561357703,2.2259213378755036
