Country_Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Brazil,2016.0,43.0,0.0,32.0,27.0,14.0,64.0,23.0,23.0,82.0,26.0,27.0,0.0,13.0,7.0,6.0,4.0,19.0,1.0,3.0,20.0,20.0,6.0,4.0,0.0,31.0,8.0,1.0
Brazil,2017.0,55.0,0.0,33.0,34.0,12.0,104.0,43.0,28.0,115.0,25.0,28.0,0.0,7.0,15.0,7.0,1.0,16.0,0.0,2.0,42.0,18.0,7.0,7.0,0.0,48.0,3.0,2.0
Brazil,2018.0,72.0,0.0,37.0,31.0,18.0,126.0,54.0,38.0,172.0,22.0,38.0,1.0,16.0,26.0,9.0,9.0,23.0,0.0,6.0,55.0,30.0,8.0,12.0,4.0,72.0,9.0,3.0
Brazil,2019.0,52.0,0.0,32.0,32.0,16.0,113.0,44.0,37.0,138.0,25.0,33.0,3.0,8.0,27.0,12.0,3.0,23.0,0.0,10.0,46.0,18.0,9.0,5.0,0.0,47.0,4.0,1.0
Brazil,2020.0,46.0,0.0,36.0,39.0,8.0,135.0,44.0,45.0,171.0,44.0,23.0,2.0,7.0,24.0,13.0,3.0,37.0,0.0,20.0,64.0,23.0,11.0,11.0,1.0,67.0,2.0,1.0
Brazil,2021.0,7.0,0.0,6.0,3.0,3.0,13.0,7.0,10.0,21.0,3.0,5.0,1.0,4.0,2.0,1.0,0.0,4.0,0.0,1.0,7.0,3.0,1.0,2.0,1.0,6.0,0.0,1.0
Canada,2015.0,24.0,0.0,17.0,14.0,2.0,36.0,14.0,4.0,35.0,11.0,14.0,0.0,1.0,2.0,4.0,5.0,10.0,0.0,0.0,17.0,10.0,1.0,3.0,0.0,13.0,1.0,1.0
Canada,2016.0,39.0,0.0,31.0,33.0,10.0,71.0,29.0,23.0,89.0,27.0,29.0,1.0,15.0,5.0,8.0,7.0,18.0,1.0,4.0,29.0,17.0,5.0,3.0,0.0,35.0,6.0,2.0
Canada,2017.0,70.0,0.0,35.0,34.0,12.0,113.0,47.0,37.0,134.0,29.0,30.0,0.0,9.0,11.0,8.0,5.0,19.0,0.0,3.0,42.0,17.0,9.0,8.0,0.0,49.0,5.0,2.0
Canada,2018.0,84.0,0.0,34.0,31.0,22.0,163.0,65.0,43.0,226.0,25.0,38.0,1.0,16.0,43.0,11.0,15.0,33.0,0.0,6.0,71.0,33.0,8.0,15.0,4.0,92.0,10.0,2.0
Canada,2019.0,72.0,0.0,45.0,41.0,18.0,126.0,46.0,37.0,183.0,35.0,42.0,3.0,13.0,29.0,12.0,2.0,29.0,0.0,10.0,51.0,27.0,9.0,4.0,0.0,72.0,9.0,1.0
Canada,2020.0,50.0,0.0,39.0,45.0,12.0,142.0,49.0,54.0,200.0,52.0,27.0,2.0,14.0,32.0,15.0,5.0,41.0,0.0,12.0,74.0,26.0,15.0,15.0,1.0,80.0,6.0,2.0
Canada,2021.0,7.0,0.0,5.0,3.0,3.0,14.0,9.0,10.0,22.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,3.0,1.0,3.0,1.0,7.0,1.0,0.0
Colombia,2015.0,24.0,0.0,16.0,12.0,2.0,29.0,11.0,3.0,32.0,10.0,13.0,0.0,1.0,7.0,4.0,3.0,12.0,0.0,0.0,16.0,9.0,1.0,2.0,0.0,17.0,2.0,1.0
Colombia,2016.0,41.0,0.0,33.0,27.0,14.0,51.0,24.0,23.0,79.0,24.0,26.0,0.0,12.0,6.0,5.0,4.0,19.0,1.0,3.0,18.0,18.0,6.0,4.0,0.0,32.0,7.0,1.0
Colombia,2017.0,58.0,0.0,35.0,36.0,10.0,95.0,46.0,24.0,122.0,25.0,29.0,0.0,8.0,16.0,7.0,1.0,19.0,0.0,2.0,48.0,20.0,7.0,5.0,0.0,49.0,3.0,2.0
Colombia,2018.0,74.0,0.0,36.0,30.0,20.0,109.0,54.0,36.0,177.0,22.0,43.0,1.0,16.0,27.0,9.0,13.0,25.0,0.0,6.0,58.0,30.0,8.0,12.0,4.0,74.0,9.0,3.0
Colombia,2019.0,53.0,0.0,33.0,33.0,16.0,95.0,42.0,35.0,135.0,27.0,35.0,3.0,8.0,28.0,12.0,3.0,21.0,0.0,10.0,44.0,21.0,9.0,5.0,0.0,48.0,4.0,1.0
