Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Portugal,2020,117.0,0.0,80.0,87.0,32.0,297.0,116.0,102.0,427.0,88.0,72.0,0.0,8.0,31.0,66.0,28.0,13.0,82.0,0.0,41.0,170.0,51.0,28.0,28.0,1.0,169.0,11.0,2.0
Portugal,2021,16.0,0.0,13.0,7.0,5.0,41.0,17.0,17.0,56.0,9.0,14.0,1.0,2.0,3.0,2.0,4.0,0.0,10.0,0.0,3.0,11.0,7.0,8.0,4.0,1.0,20.0,1.0,1.0
Romania,2015,265.0,0.0,194.0,118.0,47.0,373.0,138.0,49.0,397.0,141.0,137.0,0.0,1.0,19.0,65.0,21.0,18.0,95.0,1.0,1.0,176.0,124.0,12.0,22.0,0.0,216.0,20.0,8.0
Romania,2016,95.0,0.0,61.0,50.0,29.0,159.0,63.0,53.0,183.0,43.0,55.0,0.0,1.0,18.0,26.0,15.0,8.0,39.0,1.0,4.0,61.0,41.0,16.0,11.0,0.0,83.0,10.0,3.0
Romania,2017,106.0,0.0,67.0,51.0,28.0,213.0,104.0,79.0,268.0,52.0,53.0,0.0,1.0,23.0,34.0,15.0,7.0,49.0,0.0,6.0,78.0,36.0,11.0,14.0,3.0,118.0,11.0,3.0
Romania,2018,164.0,1.0,72.0,66.0,36.0,377.0,119.0,107.0,428.0,57.0,103.0,0.0,4.0,33.0,67.0,25.0,21.0,70.0,2.0,20.0,168.0,63.0,17.0,27.0,6.0,174.0,15.0,3.0
Romania,2019,140.0,0.0,81.0,62.0,43.0,334.0,130.0,102.0,444.0,60.0,80.0,0.0,4.0,26.0,74.0,36.0,7.0,78.0,1.0,19.0,163.0,54.0,28.0,17.0,0.0,163.0,14.0,1.0
Romania,2020,124.0,0.0,85.0,90.0,31.0,313.0,123.0,103.0,466.0,96.0,74.0,0.0,8.0,29.0,73.0,28.0,14.0,87.0,0.0,41.0,175.0,52.0,31.0,29.0,1.0,178.0,11.0,3.0
Romania,2021,17.0,0.0,14.0,9.0,5.0,49.0,17.0,18.0,65.0,10.0,15.0,1.0,2.0,4.0,3.0,6.0,1.0,9.0,0.0,3.0,13.0,9.0,8.0,4.0,1.0,20.0,2.0,1.0
Russia,2015,193.0,0.0,145.0,112.0,30.0,319.0,103.0,41.0,285.0,115.0,101.0,0.0,1.0,16.0,30.0,16.0,18.0,60.0,1.0,1.0,140.0,92.0,12.0,15.0,0.0,124.0,12.0,10.0
Russia,2016,84.0,0.0,55.0,48.0,23.0,145.0,50.0,55.0,180.0,42.0,52.0,0.0,1.0,18.0,19.0,13.0,8.0,38.0,1.0,4.0,61.0,40.0,16.0,9.0,0.0,69.0,11.0,3.0
Russia,2017,110.0,0.0,64.0,50.0,25.0,229.0,98.0,82.0,279.0,51.0,48.0,0.0,1.0,18.0,29.0,16.0,11.0,43.0,0.0,8.0,84.0,34.0,14.0,14.0,3.0,104.0,11.0,3.0
Russia,2018,155.0,1.0,66.0,64.0,33.0,380.0,113.0,110.0,416.0,55.0,97.0,0.0,4.0,36.0,61.0,24.0,21.0,67.0,3.0,20.0,169.0,56.0,17.0,25.0,6.0,165.0,15.0,1.0
Russia,2019,130.0,0.0,68.0,61.0,34.0,314.0,119.0,93.0,406.0,51.0,74.0,0.0,4.0,27.0,67.0,35.0,7.0,71.0,1.0,19.0,163.0,51.0,28.0,15.0,0.0,142.0,10.0,1.0
Russia,2020,129.0,0.0,91.0,89.0,31.0,329.0,123.0,102.0,458.0,99.0,80.0,0.0,8.0,34.0,69.0,31.0,14.0,91.0,0.0,41.0,181.0,54.0,30.0,31.0,1.0,178.0,12.0,3.0
Russia,2021,15.0,0.0,12.0,7.0,6.0,37.0,13.0,15.0,41.0,5.0,9.0,1.0,2.0,3.0,3.0,2.0,0.0,7.0,0.0,3.0,12.0,6.0,8.0,4.0,1.0,13.0,0.0,1.0
Singapore,2015,239.0,0.0,164.0,126.0,33.0,332.0,122.0,37.0,328.0,122.0,130.0,0.0,2.0,20.0,50.0,22.0,19.0,71.0,1.0,2.0,140.0,107.0,12.0,22.0,0.0,169.0,17.0,7.0
Singapore,2016,107.0,0.0,69.0,63.0,27.0,167.0,59.0,51.0,197.0,42.0,67.0,0.0,0.0,20.0,29.0,19.0,8.0,42.0,1.0,4.0,76.0,46.0,16.0,11.0,0.0,82.0,10.0,3.0
Singapore,2017,106.0,0.0,75.0,69.0,22.0,219.0,85.0,74.0,248.0,48.0,58.0,0.0,2.0,14.0,30.0,15.0,8.0,44.0,0.0,5.0,79.0,37.0,11.0,13.0,2.0,99.0,10.0,3.0
Singapore,2018,197.0,1.0,78.0,77.0,36.0,381.0,137.0,108.0,426.0,53.0,102.0,0.0,3.0,38.0,65.0,24.0,21.0,66.0,2.0,20.0,163.0,65.0,16.0,27.0,6.0,185.0,16.0,4.0
Singapore,2019,167.0,0.0,90.0,87.0,40.0,369.0,122.0,98.0,443.0,60.0,96.0,0.0,4.0,31.0,77.0,36.0,10.0,81.0,1.0,19.0,193.0,66.0,27.0,18.0,0.0,162.0,14.0,1.0
Singapore,2020,152.0,0.0,96.0,111.0,34.0,386.0,137.0,102.0,540.0,105.0,89.0,0.0,9.0,30.0,83.0,30.0,21.0,95.0,1.0,41.0,224.0,61.0,32.0,35.0,2.0,196.0,12.0,8.0
Singapore,2021,17.0,0.0,16.0,7.0,5.0,39.0,13.0,15.0,51.0,7.0,13.0,1.0,2.0,2.0,3.0,3.0,0.0,9.0,0.0,3.0,16.0,8.0,6.0,4.0,1.0,18.0,1.0,2.0
Slovakia,2015,243.0,0.0,183.0,112.0,53.0,326.0,128.0,44.0,383.0,132.0,130.0,0.0,1.0,21.0,55.0,20.0,18.0,82.0,1.0,1.0,162.0,116.0,12.0,22.0,0.0,193.0,19.0,7.0
Slovakia,2016,93.0,0.0,64.0,51.0,28.0,155.0,61.0,52.0,188.0,42.0,55.0,0.0,1.0,20.0,28.0,15.0,7.0,41.0,1.0,4.0,61.0,40.0,17.0,10.0,0.0,83.0,10.0,3.0
Slovakia,2017,118.0,0.0,68.0,50.0,27.0,221.0,104.0,82.0,298.0,54.0,54.0,0.0,1.0,24.0,31.0,16.0,10.0,45.0,0.0,7.0,89.0,38.0,13.0,14.0,2.0,120.0,11.0,3.0
Slovakia,2018,159.0,1.0,70.0,67.0,35.0,354.0,114.0,99.0,407.0,56.0,100.0,0.0,4.0,32.0,62.0,24.0,17.0,68.0,2.0,20.0,159.0,64.0,17.0,24.0,6.0,161.0,16.0,3.0
Slovakia,2019,140.0,0.0,86.0,67.0,45.0,368.0,136.0,99.0,455.0,71.0,88.0,0.0,4.0,31.0,74.0,38.0,9.0,76.0,1.0,20.0,168.0,57.0,29.0,17.0,0.0,166.0,14.0,1.0
Slovakia,2020,131.0,0.0,94.0,88.0,35.0,340.0,128.0,105.0,466.0,99.0,84.0,0.0,8.0,33.0,72.0,30.0,17.0,93.0,0.0,41.0,183.0,56.0,31.0,28.0,1.0,183.0,15.0,3.0
Slovakia,2021,17.0,0.0,13.0,8.0,5.0,43.0,17.0,16.0,57.0,9.0,14.0,1.0,2.0,3.0,3.0,5.0,1.0,9.0,0.0,3.0,12.0,9.0,8.0,4.0,1.0,20.0,2.0,1.0
South Africa,2015,204.0,0.0,150.0,119.0,35.0,331.0,105.0,39.0,298.0,126.0,107.0,0.0,1.0,18.0,34.0,15.0,15.0,63.0,1.0,1.0,133.0,94.0,12.0,15.0,0.0,143.0,15.0,5.0
South Africa,2016,88.0,0.0,56.0,52.0,22.0,151.0,51.0,55.0,178.0,43.0,58.0,0.0,1.0,18.0,24.0,17.0,9.0,34.0,1.0,5.0,57.0,42.0,15.0,10.0,1.0,72.0,10.0,2.0
South Africa,2017,107.0,0.0,66.0,47.0,24.0,230.0,99.0,85.0,275.0,49.0,48.0,0.0,1.0,21.0,32.0,16.0,10.0,46.0,0.0,7.0,89.0,34.0,13.0,12.0,3.0,109.0,10.0,3.0
South Africa,2018,156.0,1.0,65.0,65.0,31.0,376.0,108.0,108.0,410.0,54.0,97.0,0.0,4.0,33.0,65.0,23.0,20.0,67.0,2.0,22.0,164.0,60.0,17.0,25.0,6.0,163.0,14.0,1.0
South Africa,2019,135.0,0.0,78.0,66.0,40.0,324.0,120.0,97.0,420.0,57.0,78.0,0.0,4.0,28.0,73.0,36.0,8.0,74.0,1.0,19.0,167.0,56.0,28.0,16.0,0.0,159.0,12.0,1.0
South Africa,2020,126.0,0.0,83.0,91.0,32.0,328.0,124.0,108.0,470.0,99.0,74.0,0.0,8.0,30.0,69.0,30.0,16.0,86.0,0.0,44.0,186.0,55.0,32.0,29.0,1.0,184.0,10.0,4.0
South Africa,2021,15.0,0.0,11.0,7.0,5.0,33.0,14.0,15.0,38.0,5.0,10.0,1.0,2.0,2.0,2.0,3.0,1.0,7.0,0.0,3.0,12.0,5.0,6.0,3.0,1.0,14.0,0.0,1.0
South Korea,2015,247.0,0.0,194.0,126.0,42.0,283.0,115.0,34.0,349.0,112.0,145.0,0.0,2.0,29.0,49.0,24.0,16.0,74.0,1.0,2.0,155.0,119.0,11.0,19.0,0.0,183.0,25.0,10.0
South Korea,2016,124.0,0.0,66.0,61.0,26.0,164.0,68.0,45.0,215.0,42.0,55.0,0.0,0.0,22.0,31.0,15.0,6.0,43.0,1.0,4.0,68.0,52.0,17.0,10.0,0.0,107.0,11.0,3.0
South Korea,2017,122.0,0.0,81.0,75.0,27.0,224.0,101.0,69.0,274.0,55.0,66.0,0.0,2.0,21.0,32.0,16.0,8.0,54.0,0.0,5.0,93.0,40.0,10.0,17.0,4.0,124.0,11.0,3.0
South Korea,2018,149.0,1.0,80.0,81.0,32.0,279.0,107.0,88.0,341.0,47.0,100.0,0.0,3.0,32.0,57.0,20.0,10.0,66.0,2.0,18.0,114.0,74.0,13.0,19.0,6.0,146.0,18.0,4.0
South Korea,2019,122.0,0.0,68.0,72.0,35.0,279.0,111.0,79.0,359.0,51.0,79.0,0.0,5.0,39.0,63.0,28.0,6.0,74.0,0.0,18.0,141.0,51.0,24.0,18.0,1.0,124.0,12.0,0.0
South Korea,2020,102.0,0.0,83.0,102.0,25.0,236.0,97.0,89.0,320.0,89.0,80.0,0.0,9.0,29.0,53.0,27.0,11.0,81.0,0.0,42.0,123.0,54.0,21.0,23.0,1.0,135.0,9.0,3.0
South Korea,2021,19.0,0.0,14.0,10.0,6.0,37.0,19.0,14.0,65.0,7.0,18.0,1.0,1.0,4.0,10.0,1.0,1.0,8.0,0.0,3.0,20.0,6.0,5.0,2.0,1.0,23.0,3.0,1.0
Spain,2015,258.0,0.0,208.0,147.0,35.0,351.0,118.0,42.0,354.0,165.0,158.0,0.0,1.0,19.0,54.0,22.0,20.0,76.0,1.0,3.0,161.0,119.0,15.0,22.0,1.0,193.0,21.0,5.0
Spain,2016,81.0,0.0,55.0,58.0,29.0,136.0,47.0,51.0,164.0,43.0,57.0,0.0,1.0,17.0,22.0,15.0,8.0,41.0,1.0,4.0,52.0,38.0,16.0,10.0,0.0,69.0,9.0,3.0
Spain,2017,98.0,0.0,70.0,57.0,23.0,230.0,92.0,79.0,248.0,49.0,54.0,0.0,2.0,18.0,29.0,16.0,6.0,43.0,0.0,7.0,80.0,37.0,10.0,14.0,2.0,89.0,9.0,4.0
Spain,2018,122.0,1.0,65.0,71.0,28.0,291.0,95.0,92.0,299.0,50.0,85.0,0.0,3.0,25.0,41.0,17.0,19.0,58.0,2.0,19.0,109.0,61.0,15.0,17.0,6.0,128.0,13.0,2.0
Spain,2019,114.0,0.0,75.0,63.0,38.0,264.0,111.0,93.0,316.0,57.0,71.0,0.0,4.0,27.0,58.0,34.0,8.0,61.0,0.0,22.0,115.0,54.0,27.0,11.0,0.0,119.0,8.0,1.0
Spain,2020,117.0,0.0,81.0,93.0,34.0,308.0,120.0,103.0,435.0,93.0,72.0,0.0,8.0,29.0,62.0,32.0,15.0,83.0,0.0,41.0,168.0,50.0,29.0,26.0,1.0,169.0,12.0,2.0
Spain,2021,16.0,0.0,13.0,7.0,5.0,40.0,16.0,17.0,58.0,9.0,14.0,1.0,2.0,4.0,2.0,5.0,0.0,10.0,0.0,3.0,11.0,7.0,8.0,4.0,1.0,20.0,2.0,1.0
Sweden,2015,244.0,0.0,188.0,138.0,36.0,347.0,130.0,38.0,299.0,157.0,130.0,0.0,1.0,25.0,41.0,22.0,24.0,65.0,2.0,1.0,143.0,107.0,11.0,20.0,0.0,178.0,23.0,5.0
Sweden,2016,89.0,0.0,56.0,51.0,28.0,145.0,62.0,45.0,179.0,43.0,50.0,0.0,1.0,18.0,19.0,16.0,8.0,40.0,1.0,4.0,46.0,36.0,12.0,9.0,0.0,83.0,11.0,3.0
Sweden,2017,97.0,0.0,68.0,51.0,25.0,207.0,90.0,74.0,235.0,49.0,51.0,0.0,1.0,20.0,33.0,17.0,6.0,45.0,0.0,6.0,76.0,39.0,10.0,14.0,2.0,106.0,13.0,4.0
Sweden,2018,113.0,1.0,61.0,66.0,30.0,264.0,86.0,86.0,278.0,47.0,75.0,0.0,3.0,26.0,37.0,17.0,15.0,53.0,2.0,19.0,99.0,59.0,15.0,17.0,6.0,120.0,14.0,2.0
Sweden,2019,102.0,0.0,64.0,65.0,37.0,260.0,106.0,88.0,308.0,54.0,62.0,0.0,4.0,25.0,51.0,31.0,6.0,64.0,0.0,19.0,120.0,53.0,25.0,10.0,0.0,110.0,7.0,1.0
Sweden,2020,126.0,0.0,88.0,89.0,36.0,325.0,128.0,107.0,463.0,102.0,81.0,0.0,8.0,31.0,71.0,33.0,15.0,89.0,0.0,40.0,179.0,56.0,28.0,29.0,1.0,179.0,11.0,4.0
Sweden,2021,11.0,0.0,10.0,7.0,6.0,24.0,9.0,15.0,31.0,5.0,8.0,1.0,2.0,2.0,3.0,2.0,0.0,7.0,0.0,3.0,8.0,6.0,6.0,3.0,1.0,11.0,0.0,1.0
Switzerland,2015,301.0,0.0,233.0,154.0,53.0,432.0,170.0,44.0,438.0,174.0,172.0,0.0,1.0,34.0,77.0,25.0,19.0,97.0,1.0,3.0,183.0,146.0,12.0,23.0,1.0,239.0,23.0,11.0
Switzerland,2016,119.0,0.0,69.0,63.0,32.0,164.0,67.0,47.0,192.0,46.0,63.0,0.0,1.0,23.0,33.0,15.0,7.0,46.0,1.0,4.0,56.0,55.0,15.0,10.0,0.0,100.0,17.0,2.0
Switzerland,2017,114.0,0.0,87.0,71.0,27.0,236.0,92.0,73.0,268.0,59.0,70.0,0.0,2.0,17.0,38.0,18.0,8.0,58.0,0.0,8.0,88.0,49.0,11.0,15.0,3.0,113.0,13.0,4.0
Switzerland,2018,159.0,1.0,78.0,82.0,33.0,308.0,107.0,91.0,357.0,60.0,108.0,0.0,3.0,33.0,56.0,24.0,19.0,67.0,4.0,19.0,140.0,83.0,11.0,22.0,6.0,150.0,14.0,5.0
Switzerland,2019,128.0,0.0,88.0,70.0,34.0,289.0,125.0,86.0,355.0,63.0,74.0,0.0,4.0,29.0,64.0,32.0,9.0,71.0,0.0,20.0,124.0,54.0,25.0,13.0,0.0,143.0,11.0,4.0
Switzerland,2020,123.0,0.0,86.0,97.0,33.0,323.0,119.0,104.0,432.0,98.0,74.0,0.0,9.0,33.0,62.0,30.0,12.0,86.0,0.0,41.0,171.0,50.0,28.0,29.0,1.0,166.0,13.0,3.0
Switzerland,2021,14.0,0.0,12.0,8.0,6.0,43.0,12.0,17.0,55.0,10.0,11.0,1.0,2.0,3.0,3.0,4.0,1.0,12.0,0.0,3.0,13.0,5.0,8.0,5.0,1.0,18.0,1.0,1.0
Thailand,2015,239.0,0.0,166.0,124.0,30.0,334.0,122.0,38.0,325.0,122.0,137.0,0.0,2.0,19.0,49.0,22.0,19.0,75.0,1.0,2.0,146.0,110.0,12.0,20.0,0.0,170.0,14.0,6.0
Thailand,2016,99.0,0.0,64.0,63.0,26.0,159.0,56.0,53.0,193.0,44.0,62.0,0.0,0.0,18.0,28.0,21.0,9.0,40.0,1.0,4.0,73.0,46.0,16.0,11.0,0.0,78.0,10.0,2.0
Thailand,2017,103.0,0.0,72.0,68.0,22.0,218.0,90.0,70.0,246.0,45.0,57.0,0.0,1.0,15.0,27.0,15.0,8.0,44.0,0.0,4.0,79.0,34.0,10.0,14.0,3.0,98.0,10.0,3.0
Thailand,2018,194.0,1.0,80.0,76.0,36.0,383.0,131.0,109.0,428.0,53.0,106.0,0.0,4.0,38.0,68.0,24.0,20.0,68.0,2.0,20.0,164.0,65.0,17.0,28.0,6.0,185.0,17.0,4.0
Thailand,2019,159.0,0.0,87.0,87.0,42.0,374.0,119.0,98.0,464.0,62.0,103.0,0.0,4.0,33.0,95.0,37.0,9.0,82.0,1.0,19.0,208.0,66.0,27.0,18.0,0.0,164.0,14.0,1.0
Thailand,2020,148.0,0.0,94.0,111.0,33.0,383.0,137.0,104.0,540.0,103.0,89.0,0.0,8.0,29.0,86.0,31.0,20.0,95.0,0.0,42.0,230.0,60.0,29.0,32.0,1.0,200.0,12.0,8.0
Thailand,2021,17.0,0.0,15.0,7.0,5.0,35.0,13.0,15.0,47.0,7.0,13.0,1.0,2.0,2.0,4.0,3.0,0.0,8.0,0.0,3.0,18.0,7.0,6.0,4.0,1.0,15.0,1.0,1.0
Turkey,2015,246.0,0.0,196.0,117.0,35.0,303.0,118.0,38.0,299.0,138.0,134.0,0.0,1.0,17.0,43.0,20.0,16.0,74.0,1.0,1.0,143.0,121.0,12.0,19.0,0.0,166.0,13.0,7.0
Turkey,2016,76.0,0.0,51.0,49.0,29.0,133.0,44.0,46.0,150.0,37.0,53.0,0.0,1.0,19.0,18.0,15.0,7.0,38.0,1.0,4.0,43.0,39.0,14.0,7.0,0.0,59.0,9.0,2.0
Turkey,2017,98.0,0.0,71.0,55.0,22.0,207.0,87.0,76.0,229.0,51.0,52.0,0.0,1.0,19.0,26.0,15.0,7.0,42.0,0.0,6.0,71.0,39.0,11.0,13.0,2.0,92.0,8.0,3.0
Turkey,2018,130.0,1.0,66.0,63.0,28.0,272.0,90.0,87.0,284.0,43.0,85.0,0.0,3.0,27.0,45.0,18.0,13.0,62.0,2.0,19.0,109.0,65.0,14.0,16.0,6.0,133.0,16.0,4.0
Turkey,2019,115.0,0.0,77.0,63.0,35.0,291.0,109.0,85.0,324.0,56.0,75.0,0.0,4.0,28.0,49.0,32.0,9.0,65.0,0.0,19.0,137.0,59.0,25.0,9.0,0.0,118.0,8.0,1.0
Turkey,2020,125.0,0.0,87.0,91.0,31.0,349.0,129.0,102.0,463.0,94.0,77.0,0.0,9.0,32.0,76.0,31.0,13.0,83.0,0.0,42.0,186.0,52.0,32.0,29.0,1.0,182.0,11.0,5.0
Turkey,2021,13.0,0.0,12.0,7.0,5.0,30.0,12.0,15.0,38.0,5.0,9.0,1.0,2.0,2.0,3.0,2.0,0.0,7.0,0.0,3.0,11.0,5.0,6.0,3.0,1.0,14.0,0.0,1.0
United Kingdom,2015,252.0,0.0,181.0,152.0,41.0,480.0,150.0,62.0,402.0,183.0,143.0,0.0,3.0,31.0,65.0,29.0,22.0,84.0,3.0,3.0,180.0,114.0,14.0,29.0,1.0,200.0,27.0,11.0
United Kingdom,2016,90.0,0.0,66.0,58.0,30.0,178.0,59.0,55.0,203.0,52.0,61.0,0.0,1.0,19.0,29.0,19.0,9.0,42.0,1.0,5.0,62.0,40.0,17.0,9.0,1.0,80.0,10.0,2.0
United Kingdom,2017,125.0,0.0,77.0,60.0,28.0,248.0,98.0,88.0,299.0,58.0,62.0,0.0,1.0,20.0,34.0,19.0,12.0,53.0,0.0,5.0,98.0,40.0,14.0,15.0,4.0,118.0,11.0,3.0
United Kingdom,2018,167.0,1.0,75.0,76.0,37.0,409.0,112.0,114.0,427.0,67.0,101.0,0.0,6.0,35.0,65.0,26.0,24.0,66.0,2.0,23.0,166.0,67.0,18.0,28.0,6.0,168.0,18.0,4.0
United Kingdom,2019,158.0,0.0,89.0,78.0,50.0,351.0,138.0,108.0,474.0,66.0,88.0,0.0,5.0,34.0,87.0,38.0,10.0,83.0,1.0,22.0,174.0,69.0,29.0,18.0,0.0,181.0,15.0,1.0
United Kingdom,2020,146.0,0.0,91.0,97.0,35.0,352.0,144.0,112.0,514.0,105.0,86.0,0.0,8.0,35.0,85.0,37.0,18.0,97.0,0.0,49.0,192.0,63.0,34.0,33.0,1.0,214.0,18.0,8.0
United Kingdom,2021,17.0,0.0,12.0,7.0,9.0,40.0,17.0,17.0,59.0,9.0,13.0,1.0,2.0,3.0,3.0,5.0,1.0,11.0,0.0,3.0,12.0,6.0,8.0,4.0,1.0,24.0,2.0,1.0
United States,2015,161.0,0.0,135.0,141.0,44.0,308.0,91.0,50.0,318.0,135.0,114.0,0.0,1.0,27.0,45.0,25.0,25.0,64.0,4.0,3.0,112.0,84.0,12.0,18.0,0.0,113.0,20.0,7.0
United States,2016,66.0,0.0,43.0,40.0,29.0,131.0,58.0,57.0,176.0,34.0,45.0,0.0,1.0,21.0,20.0,13.0,7.0,43.0,1.0,4.0,52.0,32.0,13.0,7.0,1.0,72.0,6.0,3.0
United States,2017,122.0,0.0,68.0,55.0,26.0,242.0,105.0,85.0,305.0,56.0,56.0,0.0,1.0,22.0,37.0,20.0,10.0,53.0,0.0,10.0,95.0,40.0,15.0,16.0,3.0,119.0,14.0,5.0
United States,2018,156.0,1.0,70.0,72.0,38.0,365.0,114.0,109.0,414.0,64.0,97.0,0.0,3.0,36.0,64.0,24.0,25.0,66.0,2.0,22.0,130.0,66.0,17.0,27.0,6.0,178.0,17.0,1.0
United States,2019,147.0,0.0,88.0,80.0,42.0,336.0,125.0,110.0,439.0,74.0,80.0,0.0,5.0,32.0,77.0,41.0,9.0,81.0,1.0,25.0,156.0,58.0,27.0,20.0,0.0,177.0,14.0,5.0
United States,2020,142.0,0.0,85.0,87.0,35.0,312.0,133.0,122.0,480.0,97.0,69.0,0.0,10.0,29.0,72.0,32.0,16.0,88.0,0.0,40.0,167.0,55.0,33.0,36.0,1.0,201.0,14.0,9.0
United States,2021,14.0,0.0,10.0,7.0,5.0,32.0,15.0,15.0,42.0,5.0,11.0,1.0,2.0,4.0,5.0,2.0,0.0,10.0,0.0,3.0,13.0,6.0,6.0,3.0,1.0,19.0,2.0,0.0
