Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Hungary,2021,17.0,0.0,13.0,8.0,5.0,42.0,17.0,17.0,57.0,9.0,14.0,1.0,2.0,3.0,3.0,5.0,1.0,9.0,0.0,3.0,11.0,9.0,8.0,5.0,1.0,19.0,2.0,1.0
Iceland,2015,185.0,0.0,133.0,100.0,33.0,289.0,89.0,40.0,275.0,126.0,88.0,0.0,1.0,15.0,31.0,19.0,21.0,53.0,1.0,1.0,112.0,82.0,11.0,19.0,0.0,123.0,14.0,6.0
Iceland,2016,86.0,0.0,55.0,47.0,23.0,135.0,51.0,51.0,175.0,38.0,48.0,0.0,1.0,19.0,21.0,13.0,8.0,34.0,1.0,4.0,58.0,38.0,16.0,8.0,0.0,68.0,10.0,2.0
Iceland,2017,115.0,0.0,62.0,45.0,26.0,223.0,99.0,81.0,282.0,49.0,50.0,0.0,1.0,19.0,33.0,16.0,11.0,48.0,0.0,7.0,93.0,36.0,12.0,15.0,2.0,112.0,10.0,4.0
Iceland,2018,156.0,1.0,70.0,62.0,32.0,365.0,112.0,104.0,415.0,59.0,96.0,0.0,4.0,31.0,59.0,22.0,23.0,65.0,2.0,20.0,163.0,58.0,18.0,25.0,6.0,162.0,14.0,2.0
Iceland,2019,126.0,0.0,69.0,57.0,36.0,306.0,115.0,97.0,406.0,51.0,68.0,0.0,4.0,25.0,64.0,34.0,8.0,69.0,1.0,19.0,157.0,51.0,27.0,16.0,0.0,139.0,10.0,1.0
Iceland,2020,120.0,0.0,80.0,88.0,32.0,305.0,114.0,102.0,435.0,95.0,72.0,0.0,8.0,30.0,63.0,30.0,15.0,83.0,0.0,41.0,172.0,51.0,28.0,29.0,1.0,170.0,10.0,2.0
Iceland,2021,16.0,0.0,13.0,7.0,5.0,42.0,16.0,17.0,55.0,9.0,15.0,1.0,2.0,3.0,2.0,4.0,0.0,10.0,0.0,3.0,12.0,7.0,8.0,4.0,1.0,19.0,1.0,1.0
India,2015,247.0,0.0,169.0,121.0,40.0,347.0,129.0,43.0,362.0,117.0,109.0,0.0,1.0,21.0,51.0,23.0,19.0,80.0,1.0,1.0,172.0,113.0,11.0,19.0,0.0,189.0,19.0,8.0
India,2016,91.0,0.0,61.0,64.0,27.0,170.0,61.0,55.0,208.0,45.0,63.0,0.0,1.0,23.0,29.0,16.0,8.0,46.0,1.0,5.0,68.0,41.0,17.0,8.0,1.0,79.0,10.0,3.0
India,2017,122.0,0.0,70.0,61.0,29.0,245.0,102.0,84.0,290.0,54.0,54.0,0.0,2.0,21.0,31.0,17.0,13.0,52.0,0.0,6.0,96.0,40.0,14.0,17.0,3.0,112.0,12.0,3.0
India,2018,164.0,1.0,69.0,72.0,35.0,391.0,118.0,110.0,439.0,59.0,101.0,0.0,5.0,34.0,65.0,24.0,20.0,70.0,2.0,23.0,173.0,61.0,16.0,28.0,6.0,174.0,16.0,3.0
India,2019,140.0,0.0,73.0,76.0,41.0,347.0,121.0,99.0,452.0,57.0,89.0,0.0,4.0,33.0,73.0,38.0,11.0,76.0,1.0,19.0,183.0,60.0,27.0,19.0,0.0,153.0,13.0,1.0
India,2020,125.0,0.0,80.0,92.0,31.0,312.0,124.0,100.0,470.0,88.0,79.0,0.0,8.0,30.0,68.0,30.0,15.0,90.0,0.0,40.0,187.0,53.0,28.0,28.0,1.0,181.0,11.0,7.0
India,2021,14.0,0.0,14.0,7.0,5.0,33.0,12.0,15.0,40.0,6.0,11.0,1.0,2.0,2.0,3.0,2.0,0.0,7.0,0.0,3.0,13.0,7.0,6.0,3.0,1.0,14.0,1.0,1.0
Israel,2015,193.0,0.0,154.0,111.0,31.0,294.0,108.0,35.0,269.0,126.0,113.0,0.0,1.0,15.0,35.0,17.0,13.0,63.0,1.0,1.0,128.0,88.0,11.0,18.0,0.0,136.0,16.0,5.0
Israel,2016,81.0,0.0,53.0,51.0,23.0,141.0,46.0,49.0,153.0,41.0,55.0,0.0,0.0,17.0,21.0,13.0,8.0,32.0,1.0,4.0,53.0,39.0,15.0,7.0,0.0,63.0,10.0,2.0
Israel,2017,99.0,0.0,60.0,51.0,21.0,208.0,93.0,70.0,241.0,46.0,46.0,0.0,1.0,15.0,26.0,15.0,9.0,41.0,0.0,5.0,76.0,34.0,11.0,15.0,2.0,99.0,10.0,3.0
Israel,2018,157.0,1.0,66.0,63.0,30.0,351.0,110.0,103.0,397.0,53.0,101.0,0.0,4.0,32.0,59.0,23.0,21.0,65.0,2.0,20.0,161.0,59.0,16.0,24.0,6.0,158.0,14.0,3.0
Israel,2019,136.0,0.0,79.0,64.0,37.0,330.0,122.0,95.0,425.0,58.0,80.0,0.0,4.0,26.0,71.0,36.0,8.0,79.0,1.0,19.0,170.0,57.0,28.0,13.0,0.0,151.0,12.0,1.0
Israel,2020,126.0,0.0,87.0,89.0,31.0,327.0,120.0,102.0,456.0,98.0,76.0,0.0,8.0,30.0,70.0,27.0,12.0,84.0,0.0,41.0,184.0,54.0,31.0,30.0,1.0,175.0,10.0,2.0
Israel,2021,15.0,0.0,12.0,7.0,5.0,35.0,13.0,15.0,42.0,5.0,9.0,1.0,2.0,2.0,2.0,2.0,0.0,7.0,0.0,3.0,12.0,5.0,6.0,3.0,1.0,14.0,0.0,1.0
Italy,2015,282.0,0.0,219.0,144.0,41.0,400.0,138.0,39.0,407.0,156.0,150.0,0.0,1.0,23.0,60.0,24.0,17.0,78.0,1.0,2.0,188.0,141.0,13.0,21.0,1.0,205.0,22.0,8.0
Italy,2016,87.0,0.0,62.0,53.0,33.0,148.0,55.0,48.0,177.0,40.0,53.0,0.0,1.0,17.0,21.0,17.0,6.0,35.0,1.0,4.0,47.0,40.0,15.0,10.0,0.0,76.0,13.0,2.0
