Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Lithuania,2021,16.0,0.0,10.0,4.0,4.0,33.0,14.0,10.0,47.0,7.0,11.0,1.0,0.0,3.0,2.0,4.0,1.0,8.0,0.0,0.0,7.0,7.0,6.0,5.0,18.0,1.0,1.0
Malaysia,2015,158.0,0.0,102.0,38.0,25.0,187.0,87.0,17.0,206.0,62.0,79.0,0.0,0.0,13.0,39.0,14.0,13.0,44.0,1.0,0.0,101.0,59.0,3.0,18.0,136.0,13.0,5.0
Malaysia,2016,63.0,0.0,33.0,14.0,20.0,72.0,42.0,25.0,111.0,19.0,26.0,0.0,0.0,11.0,20.0,13.0,3.0,23.0,1.0,0.0,38.0,11.0,7.0,9.0,62.0,8.0,0.0
Malaysia,2017,72.0,0.0,38.0,14.0,15.0,100.0,53.0,31.0,165.0,23.0,27.0,0.0,0.0,13.0,16.0,9.0,6.0,18.0,0.0,0.0,56.0,17.0,6.0,10.0,68.0,12.0,1.0
Malaysia,2018,135.0,0.0,50.0,17.0,28.0,178.0,81.0,50.0,246.0,29.0,43.0,0.0,0.0,23.0,40.0,12.0,12.0,29.0,1.0,1.0,85.0,31.0,11.0,19.0,126.0,8.0,4.0
Malaysia,2019,113.0,0.0,45.0,22.0,28.0,193.0,60.0,60.0,240.0,35.0,39.0,0.0,0.0,16.0,44.0,26.0,6.0,41.0,1.0,0.0,101.0,28.0,18.0,7.0,102.0,9.0,1.0
Malaysia,2020,93.0,0.0,56.0,60.0,22.0,259.0,81.0,57.0,339.0,68.0,38.0,0.0,0.0,9.0,47.0,19.0,15.0,38.0,0.0,1.0,144.0,27.0,22.0,23.0,122.0,9.0,8.0
Malaysia,2021,13.0,0.0,9.0,4.0,4.0,27.0,9.0,8.0,38.0,4.0,6.0,1.0,0.0,2.0,3.0,1.0,0.0,7.0,0.0,0.0,8.0,4.0,4.0,4.0,14.0,0.0,1.0
Mexico,2015,179.0,0.0,128.0,51.0,22.0,256.0,80.0,36.0,222.0,90.0,83.0,0.0,0.0,13.0,29.0,20.0,12.0,34.0,1.0,0.0,113.0,75.0,3.0,30.0,122.0,14.0,9.0
Mexico,2016,61.0,0.0,43.0,16.0,23.0,96.0,42.0,36.0,110.0,26.0,29.0,0.0,0.0,12.0,17.0,11.0,2.0,22.0,1.0,0.0,29.0,14.0,8.0,9.0,55.0,9.0,1.0
Mexico,2017,75.0,0.0,43.0,18.0,20.0,174.0,70.0,51.0,199.0,28.0,33.0,0.0,0.0,18.0,29.0,14.0,5.0,34.0,0.0,0.0,70.0,24.0,6.0,12.0,87.0,9.0,1.0
Mexico,2018,118.0,0.0,58.0,27.0,33.0,236.0,69.0,54.0,250.0,37.0,61.0,0.0,0.0,24.0,41.0,15.0,16.0,35.0,1.0,3.0,82.0,38.0,9.0,17.0,113.0,13.0,4.0
Mexico,2019,82.0,0.0,33.0,22.0,27.0,209.0,56.0,70.0,202.0,32.0,28.0,0.0,0.0,11.0,42.0,26.0,4.0,39.0,0.0,1.0,85.0,22.0,20.0,11.0,86.0,5.0,2.0
Mexico,2020,79.0,0.0,56.0,54.0,26.0,243.0,79.0,64.0,315.0,68.0,38.0,0.0,0.0,12.0,36.0,22.0,10.0,39.0,0.0,1.0,126.0,26.0,21.0,19.0,122.0,10.0,3.0
Mexico,2021,13.0,0.0,8.0,4.0,5.0,21.0,11.0,11.0,30.0,3.0,6.0,1.0,0.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,7.0,4.0,4.0,4.0,12.0,0.0,1.0
Netherlands,2015,190.0,0.0,129.0,47.0,29.0,258.0,106.0,33.0,251.0,103.0,85.0,0.0,0.0,20.0,28.0,20.0,11.0,47.0,2.0,0.0,124.0,64.0,5.0,17.0,167.0,21.0,4.0
Netherlands,2016,52.0,0.0,34.0,16.0,21.0,99.0,44.0,32.0,108.0,26.0,21.0,0.0,0.0,10.0,15.0,12.0,3.0,21.0,1.0,0.0,35.0,13.0,8.0,8.0,59.0,8.0,3.0
Netherlands,2017,66.0,0.0,36.0,16.0,18.0,154.0,60.0,50.0,167.0,23.0,26.0,0.0,0.0,15.0,20.0,15.0,5.0,25.0,0.0,0.0,60.0,18.0,6.0,13.0,76.0,9.0,1.0
Netherlands,2018,85.0,0.0,40.0,18.0,29.0,179.0,47.0,50.0,185.0,29.0,37.0,0.0,0.0,15.0,27.0,10.0,13.0,30.0,1.0,3.0,64.0,32.0,7.0,15.0,88.0,9.0,4.0
Netherlands,2019,72.0,0.0,36.0,20.0,27.0,198.0,54.0,65.0,184.0,35.0,29.0,0.0,0.0,13.0,25.0,20.0,3.0,35.0,0.0,1.0,77.0,20.0,21.0,6.0,69.0,6.0,1.0
Netherlands,2020,94.0,0.0,60.0,61.0,23.0,237.0,82.0,59.0,308.0,72.0,39.0,0.0,0.0,13.0,42.0,18.0,11.0,39.0,0.0,1.0,125.0,26.0,22.0,21.0,129.0,10.0,2.0
Netherlands,2021,13.0,0.0,11.0,4.0,5.0,36.0,12.0,10.0,48.0,8.0,12.0,1.0,0.0,3.0,3.0,2.0,0.0,8.0,0.0,0.0,5.0,7.0,6.0,4.0,18.0,0.0,1.0
Poland,2015,165.0,0.0,143.0,52.0,38.0,283.0,76.0,36.0,267.0,102.0,89.0,0.0,0.0,14.0,48.0,16.0,15.0,48.0,1.0,0.0,140.0,80.0,6.0,20.0,137.0,18.0,7.0
Poland,2016,51.0,0.0,36.0,20.0,20.0,102.0,40.0,32.0,111.0,25.0,27.0,0.0,0.0,11.0,18.0,11.0,3.0,18.0,1.0,0.0,31.0,13.0,8.0,5.0,58.0,9.0,1.0
Poland,2017,58.0,0.0,33.0,17.0,20.0,151.0,61.0,50.0,170.0,25.0,26.0,0.0,0.0,13.0,23.0,11.0,4.0,30.0,0.0,0.0,55.0,15.0,4.0,12.0,77.0,9.0,1.0
Poland,2018,77.0,0.0,42.0,20.0,26.0,166.0,44.0,47.0,176.0,22.0,33.0,0.0,0.0,17.0,28.0,9.0,7.0,26.0,1.0,3.0,58.0,31.0,8.0,12.0,81.0,10.0,3.0
Poland,2019,69.0,0.0,44.0,27.0,28.0,221.0,51.0,62.0,210.0,40.0,38.0,0.0,0.0,19.0,36.0,22.0,6.0,31.0,0.0,1.0,81.0,23.0,20.0,6.0,73.0,10.0,1.0
Poland,2020,86.0,1.0,62.0,55.0,29.0,246.0,80.0,60.0,340.0,75.0,48.0,0.0,0.0,15.0,49.0,22.0,11.0,46.0,0.0,1.0,143.0,30.0,25.0,20.0,125.0,12.0,4.0
Poland,2021,16.0,0.0,12.0,5.0,5.0,36.0,16.0,12.0,51.0,7.0,11.0,1.0,0.0,3.0,3.0,5.0,1.0,8.0,0.0,0.0,9.0,9.0,6.0,5.0,20.0,2.0,1.0
Portugal,2015,154.0,0.0,122.0,53.0,29.0,238.0,72.0,33.0,207.0,94.0,84.0,0.0,0.0,11.0,24.0,12.0,13.0,35.0,2.0,0.0,108.0,73.0,6.0,18.0,120.0,13.0,3.0
Portugal,2016,37.0,0.0,28.0,17.0,22.0,88.0,32.0,35.0,94.0,24.0,25.0,0.0,0.0,9.0,10.0,10.0,2.0,18.0,1.0,0.0,29.0,11.0,8.0,7.0,38.0,6.0,2.0
Portugal,2017,52.0,0.0,30.0,14.0,16.0,129.0,57.0,48.0,148.0,19.0,18.0,0.0,0.0,11.0,19.0,11.0,3.0,24.0,0.0,0.0,50.0,15.0,4.0,14.0,64.0,8.0,1.0
Portugal,2018,69.0,0.0,34.0,15.0,21.0,151.0,38.0,47.0,160.0,21.0,29.0,0.0,0.0,14.0,26.0,8.0,8.0,22.0,1.0,2.0,54.0,27.0,7.0,12.0,76.0,7.0,1.0
Portugal,2019,72.0,0.0,38.0,21.0,26.0,190.0,45.0,69.0,172.0,32.0,30.0,0.0,0.0,13.0,42.0,22.0,4.0,35.0,0.0,1.0,69.0,25.0,20.0,5.0,69.0,4.0,1.0
Portugal,2020,74.0,0.0,50.0,52.0,24.0,215.0,68.0,59.0,290.0,62.0,37.0,0.0,0.0,13.0,38.0,19.0,10.0,36.0,0.0,1.0,121.0,25.0,21.0,20.0,113.0,9.0,2.0
Portugal,2021,14.0,0.0,10.0,4.0,4.0,32.0,13.0,10.0,46.0,7.0,11.0,1.0,0.0,3.0,2.0,3.0,0.0,8.0,0.0,0.0,6.0,6.0,6.0,4.0,18.0,1.0,1.0
